"KeyCode","KeyDown","KeyUp"
190, 1460212175116, 1460212175136
190, 1460212175160, 1460212175203
32, 1460212175431, 1460212175534
16, 1460212175603, 1460212175775
78, 1460212175660, 1460212175742
85, 1460212176102, 1460212176214
73, 1460212176177, 1460212176327
83, 1460212176381, 1460212176474
32, 1460212177013, 1460212177131
84, 1460212177125, 1460212177207
8, 1460212177689, 1460212177796
16, 1460212177772, 1460212177943
84, 1460212177883, 1460212177976
72, 1460212178028, 1460212178131
65, 1460212178098, 1460212178212
78, 1460212178229, 1460212178334
72, 1460212178433, 1460212178600
32, 1460212178533, 1460212178663
16, 1460212178543, 1460212178704
86, 1460212178678, 1460212178785
65, 1460212178897, 1460212178962
65, 1460212179075, 1460212179159
78, 1460212179111, 1460212179244
32, 1460212179219, 1460212179299
67, 1460212179363, 1460212179433
79, 1460212179459, 1460212179565
83, 1460212179556, 1460212179656
32, 1460212179705, 1460212179825
82, 1460212179975, 1460212180056
87, 1460212180138, 1460212180243
78, 1460212180236, 1460212180380
71, 1460212180348, 1460212180447
70, 1460212180549, 1460212180637
32, 1460212180741, 1460212180799
8, 1460212180924, 1460212181024
8, 1460212181132, 1460212181215
8, 1460212181332, 1460212181404
8, 1460212181513, 1460212181589
8, 1460212181693, 1460212181812
85, 1460212182273, 1460212182394
87, 1460212182348, 1460212182454
78, 1460212182512, 1460212182660
71, 1460212182633, 1460212182732
70, 1460212182831, 1460212182951
32, 1460212183047, 1460212183192
82, 1460212183266, 1460212183359
65, 1460212183850, 1460212183908
65, 1460212183997, 1460212184125
77, 1460212184081, 1460212184204
74, 1460212184367, 1460212184487
32, 1460212185150, 1460212185284
82, 1460212185329, 1460212185480
65, 1460212185411, 1460212185580
74, 1460212185472, 1460212185619
80, 1460212185559, 1460212185682
188, 1460212185836, 1460212186027
32, 1460212185970, 1460212186081
67, 1460212186124, 1460212186232
79, 1460212186224, 1460212186344
83, 1460212186311, 1460212186443
32, 1460212186437, 1460212186532
84, 1460212186557, 1460212186643
72, 1460212186674, 1460212186799
65, 1460212186785, 1460212186935
67, 1460212186951, 1460212187084
83, 1460212187038, 1460212187169
32, 1460212187244, 1460212187354
68, 1460212187394, 1460212187443
68, 1460212187555, 1460212187641
79, 1460212187652, 1460212187715
79, 1460212187799, 1460212187907
82, 1460212187896, 1460212187974
188, 1460212188051, 1460212188258
32, 1460212188163, 1460212188268
86, 1460212188376, 1460212188498
65, 1460212188542, 1460212188700
67, 1460212188716, 1460212188944
72, 1460212188821, 1460212188951
83, 1460212188905, 1460212189030
32, 1460212189190, 1460212189262
78, 1460212189363, 1460212189467
85, 1460212189582, 1460212189722
73, 1460212189669, 1460212189798
83, 1460212189747, 1460212189821
32, 1460212189892, 1460212189995
68, 1460212190223, 1460212190334
73, 1460212190449, 1460212190582
74, 1460212190530, 1460212190735
32, 1460212190692, 1460212190799
75, 1460212190879, 1460212191003
89, 1460212191120, 1460212191215
70, 1460212191234, 1460212191346
188, 1460212191647, 1460212191813
32, 1460212191764, 1460212191891
67, 1460212191995, 1460212192112
72, 1460212192097, 1460212192209
73, 1460212192287, 1460212192310
8, 1460212192767, 1460212192875
8, 1460212193072, 1460212193166
72, 1460212193655, 1460212193783
73, 1460212193757, 1460212193937
77, 1460212193961, 1460212194156
32, 1460212194094, 1460212194216
85, 1460212194442, 1460212194543
8, 1460212194805, 1460212194885
81, 1460212194961, 1460212195042
85, 1460212195059, 1460212195214
89, 1460212195205, 1460212195350
83, 1460212195383, 1460212195485
32, 1460212195549, 1460212195651
84, 1460212195690, 1460212195770
72, 1460212195787, 1460212195944
85, 1460212195870, 1460212196034
83, 1460212195987, 1460212196091
32, 1460212196188, 1460212196282
76, 1460212196347, 1460212196481
65, 1460212196472, 1460212196565
74, 1460212196619, 1460212196810
32, 1460212196748, 1460212196902
82, 1460212196930, 1460212197037
65, 1460212197167, 1460212197229
65, 1460212197333, 1460212197447
83, 1460212197401, 1460212197502
84, 1460212197630, 1460212197709
32, 1460212197719, 1460212197807
78, 1460212197879, 1460212197980
72, 1460212198076, 1460212198213
73, 1460212198153, 1460212198287
69, 1460212198193, 1460212198262
69, 1460212198369, 1460212198499
70, 1460212198445, 1460212198556
85, 1460212198490, 1460212198588
188, 1460212198791, 1460212198976
32, 1460212198904, 1460212199019
67, 1460212199278, 1460212199419
65, 1460212199376, 1460212199530
78, 1460212199412, 1460212199503
72, 1460212199611, 1460212199702
82, 1460212199736, 1460212199812
32, 1460212199828, 1460212199926
81, 1460212199960, 1460212200028
85, 1460212200065, 1460212200150
65, 1460212200186, 1460212200268
78, 1460212200307, 1460212200499
32, 1460212200429, 1460212200538
65, 1460212200818, 1460212200903
65, 1460212201019, 1460212201123
77, 1460212201076, 1460212201228
32, 1460212201190, 1460212201304
85, 1460212201432, 1460212201537
32, 1460212202418, 1460212202527
72, 1460212202633, 1460212202759
73, 1460212202707, 1460212202844
69, 1460212202795, 1460212202855
69, 1460212202941, 1460212203085
82, 1460212203031, 1460212203121
77, 1460212203073, 1460212203204
32, 1460212203169, 1460212203297
84, 1460212203250, 1460212203363
82, 1460212203325, 1460212203415
79, 1460212203428, 1460212203542
87, 1460212203627, 1460212203783
82, 1460212203750, 1460212203860
188, 1460212204063, 1460212204219
32, 1460212204175, 1460212204268
78, 1460212204368, 1460212204472
79, 1460212204590, 1460212204663
79, 1460212204753, 1460212204861
73, 1460212204813, 1460212204929
82, 1460212204918, 1460212204996
32, 1460212205027, 1460212205135
84, 1460212205105, 1460212205189
73, 1460212205234, 1460212205354
69, 1460212205331, 1460212205405
69, 1460212205496, 1460212205581
78, 1460212205571, 1460212205693
71, 1460212205682, 1460212205785
83, 1460212205734, 1460212205857
32, 1460212205846, 1460212205984
84, 1460212205964, 1460212206083
82, 1460212206062, 1460212206185
79, 1460212206131, 1460212206258
78, 1460212206215, 1460212206344
71, 1460212206309, 1460212206397
32, 1460212206463, 1460212206551
84, 1460212206608, 1460212206689
72, 1460212206714, 1460212206835
73, 1460212206793, 1460212206938
69, 1460212206876, 1460212206948
69, 1460212207048, 1460212207138
78, 1460212207098, 1460212207224
32, 1460212207190, 1460212207267
72, 1460212207354, 1460212207467
65, 1460212207455, 1460212207554
74, 1460212207595, 1460212207703
190, 1460212207941, 1460212208010
13, 1460212208221, 1460212208283
16, 1460212208975, 1460212209174
78, 1460212209076, 1460212209164
72, 1460212209265, 1460212209366
85, 1460212209341, 1460212209448
87, 1460212209406, 1460212209538
78, 1460212209501, 1460212209625
71, 1460212209605, 1460212209707
32, 1460212209981, 1460212210109
67, 1460212210136, 1460212210229
79, 1460212210254, 1460212210393
78, 1460212210319, 1460212210504
70, 1460212210430, 1460212210531
32, 1460212210557, 1460212210662
78, 1460212210702, 1460212210802
79, 1460212210873, 1460212210945
79, 1460212211030, 1460212211142
73, 1460212211094, 1460212211213
82, 1460212211204, 1460212211283
32, 1460212211320, 1460212211422
84, 1460212211410, 1460212211497
73, 1460212211543, 1460212211651
69, 1460212211616, 1460212211698
69, 1460212211781, 1460212211877
78, 1460212211848, 1460212211965
71, 1460212211953, 1460212212095
83, 1460212212045, 1460212212162
32, 1460212212132, 1460212212224
72, 1460212212310, 1460212212411
79, 1460212212374, 1460212212497
87, 1460212212481, 1460212212571
78, 1460212212617, 1460212212785
32, 1460212212718, 1460212212822
76, 1460212212930, 1460212213039
65, 1460212213032, 1460212213132
73, 1460212213174, 1460212213314
74, 1460212213250, 1460212213419
32, 1460212213344, 1460212213462
76, 1460212213509, 1460212213632
65, 1460212213583, 1460212213734
70, 1460212213701, 1460212213788
32, 1460212213802, 1460212213894
77, 1460212213965, 1460212214063
79, 1460212214163, 1460212214215
79, 1460212214299, 1460212214445
74, 1460212214375, 1460212214521
84, 1460212214560, 1460212214656
32, 1460212214750, 1460212214842
77, 1460212214945, 1460212215041
79, 1460212215127, 1460212215194
79, 1460212215275, 1460212215447
78, 1460212215358, 1460212215533
32, 1460212215523, 1460212215614
80, 1460212215678, 1460212215762
72, 1460212215860, 1460212215973
65, 1460212215960, 1460212216105
83, 1460212216029, 1460212216162
73, 1460212216068, 1460212216254
32, 1460212216200, 1460212216357
84, 1460212216344, 1460212216432
85, 1460212216464, 1460212216623
32, 1460212216613, 1460212216755
67, 1460212216778, 1460212216885
72, 1460212216915, 1460212217003
65, 1460212216996, 1460212217065
65, 1460212217165, 1460212217285
78, 1460212217202, 1460212217354
32, 1460212217277, 1460212217426
84, 1460212217504, 1460212217593
82, 1460212217583, 1460212217696
69, 1460212217805, 1460212217883
69, 1460212217992, 1460212218045
78, 1460212218085, 1460212218231
32, 1460212218196, 1460212218289
